,Tweet Id,Datetime,Username,Tweet Content,User Location,User Verified,Retweet Count,Reply Count,Like Count
34,1487740194950647810,2022-01-30 10:51:18+00:00,GiriJagi,"@narendramodi Hon'ble Sir, two things which needs to be seriously addressed by you.. Unemployment and Inflation..Jobless Youth and Poor Middle Class r suffering.. Everything else goin smooth..","Andaman and Nicobar, India",False,0,0,0
35,1487738935778238464,2022-01-30 10:46:17+00:00,singhastralpoly,@ap_pune @Raghunath_TL Great would like to listen to your commentary on budget day,"Rio de Janeiro, Brazil",False,0,0,0
36,1487733199656697859,2022-01-30 10:23:30+00:00,Shoaib11Malik,@ImranKhanPTI Sir u must take step to bring down the prices of petroleum. It's not a good solution to control the circumstances under the inflation.,"Lahore, Pakistan",False,0,0,2
37,1487728609397972992,2022-01-30 10:05:15+00:00,adarsh78,Union Budget in india 😂😂😂😜 https://t.co/voJTCndI49,"pune, india.",False,0,0,0
38,1487727068284547072,2022-01-30 09:59:08+00:00,VishalMalkan,"2 day Live trading 
Book your seat at 
https://t.co/xE9vqO9UmV 

#Budget2022 #BudgetSession #budgetspecial #Malkansview https://t.co/lhPB20qhrJ",Mumbai,False,0,0,10
39,1487711767899688960,2022-01-30 08:58:20+00:00,justvikasyadav,"@Shubhamrbt1107 No brother you will, cause of budget is coming i hope you will capture 1100 pts in banknifty",,False,2,1,0
40,1487707954702807042,2022-01-30 08:43:11+00:00,kranthi_IYC,"Budget surplus state is turned into budget deficit state
Magic of TRS party in 7 years
#TRSLootsTelangana https://t.co/htXXlE3UZ7","Hyderabad, India",False,22,2,25
41,1487701560784142337,2022-01-30 08:17:46+00:00,Ashish41333146,"@AshwaniGujral6 Will be populist budget considering state elections...especially UP. Expecting tax relaxation for farmers , middle class...",Mumbai,False,0,0,0
42,1487699460289286145,2022-01-30 08:09:26+00:00,KirtiKangra19,"The big ideas of #Budget2022. Exclusive interview #ChandrajitBanerji by @Munmun_Bhat only on 
@DDIndialive At 8 pm tonight. @FollowCII 
 @CB_CII @narendramodi #India 🇮🇳
 . A must watch
https://t.co/b9L9lcOhkA",Indian,False,0,0,1
43,1487696578572091393,2022-01-30 07:57:59+00:00,tapariachandan,"Time to Fly to Mumbai !!

#Budget #Budget2022 #BudgetSession 
Volatile moves and Budget outcome could give trigger to the market !! 👍 https://t.co/WxxojbPsHH","Mumbai, Maharashtra",True,3,21,161
44,1487687063000338432,2022-01-30 07:20:10+00:00,mrs_meghana,"""Truth reviled""
Sant Shri Asharamji Bapu is not in jail, the defense system of our culture is in jail. - Dhananjay Desai Ji
#PressConference https://t.co/tAWpTwz36t",,False,2,0,2
